物品,描述,类型,前置依赖,前置依赖,前置依赖,前置依赖,前置依赖,替代,替代,替代,替代,替代,位置,位置,位置,位置,位置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卧室,普通。整洁。竟然完全看不出曾经发生过凶杀案。,场景,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客厅,客厅空间不大， 摆放的家具倒也不多，却因而显得有些阴森可怕,场景,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
门口,昨晚下过雨之后，还是有些泥泞。,场景,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
锁着的信箱,信箱是锁着的，从缝里面看进去，似乎放着一些报纸之类的东西,物品,,,,,,,,,,,门口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
打开的信箱,信箱是锁着的，从缝里面看进去，似乎放着一些报纸之类的东西,物品,,,,,锁着的信箱,,,,,,门口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雨后的大门,这个屋子的大门口没有被破除的痕迹，但能看出有些泥水沾在了上面。密室杀人吗？我不认为心思缜密的被害人会放任何可疑的人进家门,场景,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
床,床单上的血迹清晰可见…应该是受伤后顺势倒在床上的吧,物品,,,,,,,,,,,卧室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大书架,喜欢书的人家在这个年代倒不多了……书架上蛮多书都沾灰了。莎士比亚，马克吐温…想不到她还这么喜欢读这些外国名著。怪不得被人说一肚子墨水,物品,,,,,,,,,,,卧室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
书桌,书桌上有台灯、小书架、钢笔，没有灰尘，木质纹理绵延刻印在锃亮的书桌表面。布置风格倒与她的办公桌很像,物品,,,,,,,,,,,卧室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
字条,“生存还是死亡，这是一个值得思考的问题”钢笔字迹，刻画有力……这是在暗示什么吗,物品,,,,,,,,,,,卧室,桌子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座机电话,普通的座机电话而已，但是昨天并没有接到过被害人的电话,,,,,,,,,,,,卧室,桌子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小书架,摆放着泛黄书籍的小书架。与其说泛黄，不如说是很久没动了…为何放在小书架的书她却不看?来看看小书架里有什么书吧…,物品,,,,,,,,,,,卧室,桌子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
《走遍大江南北》,新江日报出版社1988年印刷。一本有关社会变迁的历史书籍，这本书在十年前可是畅销书之一。,物品,,,,,,,,,,,卧室,桌子,小书架,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
《欧亨利短篇小说集》,作者：欧亨利。译者：张铎。新江日报出版社1996年出版。欧亨利创作的故事结局往往是“意料之外，情理之中”,物品,,,,,,,,,,,卧室,桌子,小书架,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
《青年文摘》,1995年2月特别刊。这一期刊我记得，里面由着重品读了鲁迅先生的三篇文章，评鉴的是新江日报主编苏云。,物品,,,,,,,,,,,卧室,桌子,小书架,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
锁住的抽屉,被上锁了…这种锁应该家里能找到钥匙吧,物品,,,,,,,,,,,卧室,桌子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
打开的抽屉,抽屉开了！,物品,,,,,,锁住的抽屉,,,,,卧室,桌子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9mm子弹,两个弹夹的手枪子弹，静静地躺在抽屉里,,,,,,,,,,,,卧室,桌子,打开的抽屉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日记本,一本精心装点的日记本,,,,,,,,,,,,卧室,桌子,打开的抽屉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卧室地面,木地板。似乎没有什么拖拽痕迹。,物品,,,,,,,,,,,卧室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一把手枪,勃朗宁手枪，造型时髦，杀伤威力和射程都很优秀…不过，里面没有弹药，似乎只是被随手扔在那里。,物品,,,,,,,,,,,卧室,卧室地面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
染血的地毯,毛绒地毯上斑驳着几块血迹。当一块好看的地毯染上了血迹，它还能显得好看吗？,物品,,,,,,,,,,,卧室,卧室地面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
破碎的杯子,地面上有一个破碎的杯子和零星的碎片,物品,,,,,,,,,,,卧室,卧室地面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
散落的书籍,这些书倒是挺新的，都是最近两三个月才出版的，怎么给丢在了地上？,物品,,,,,,,,,,,卧室,卧室地面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
另一只拖鞋,另一只在这。,物品,,,,,,,,,,,卧室,卧室地面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卧室墙壁,小小的房间，墙壁上却装饰得非常丰满,物品,,,,,,,,,,,卧室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电影海报,墙壁上贴着几张电影海报，她对于这种艺术作品可谓情有独钟,物品,,,,,,,,,,,卧室,卧室墙壁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奖状,第十三届文学社小说创作大赛二等奖。书友书籍分享会优秀展示作品奖。,物品,,,,,,,,,,,卧室,卧室墙壁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弹孔,这两个弹孔直穿到客厅，向卧室的口径在8mm左右,,,,,,,,,,,,卧室,卧室墙壁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
橱柜,存放了一些物品的橱柜,物品,,,,,,,,,,,客厅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沙发,堆放了一些杂物的沙发,物品,,,,,,,,,,,客厅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茶几,客厅沙发前的茶几,物品,,,,,,,,,,,客厅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电视机,正在播放节目的电视机,物品,,,,,,,,,,,客厅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客厅地面,客厅的地面,场景,,,,,,,,,,,客厅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
节目单,标注出了各个时段自己所感兴趣的节目，这个时间点信息说不定有用…,物品,,,,,,,,,,,客厅,茶几,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
眼镜,我记得她度数不深…但是她看电视的时候还是要戴上这副玩意,物品,,,,,,,,,,,客厅,茶几,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
散落的报纸, 一堆散落的报纸躺在沙发上，日期是2月29日…怎么一口气买这么多报纸？,物品,,,,,,,,,,,客厅,沙发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
钟,复古的钟,,,,,,,,,,,,客厅,墙壁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
断掉的电话线,有趣，我记得前几个案件里，这个杀手可不曾有这种多余的举动,,,,,,,,,,,,客厅,墙壁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一只拖鞋,奇怪，怎么只有一只？,物品,,,,,,,,,,,客厅,客厅地面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
钥匙串,钥匙串，上面有四把钥匙,物品,,,,,,,,,,,客厅,客厅地面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
钥匙1,钥匙串上的一个钥匙,物品,,,,,,,,,,,客厅,客厅地面,钥匙串,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
钥匙2,钥匙串上的一个钥匙,物品,,,,,,,,,,,客厅,客厅地面,钥匙串,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,